

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1], [1, -1]]        
------------------------------------------------------------------------------------


11/11/2021 11:29:19 ||| RECEIVER-1   ||  RECEIVES DATA FROM SENDER-1
11/11/2021 11:29:19 ||| RECEIVER-2   ||  RECEIVES DATA FROM SENDER-2
11/11/2021 11:29:19 ||| SENDER-1     ||  STARTS SENDING TO RECEIVER-1
11/11/2021 11:29:19 ||| SENDER-2     ||  STARTS SENDING TO RECEIVER-2
11/11/2021 11:29:19 ||| SENDER-2     ||  DATA BIT SEND -1
11/11/2021 11:29:19 ||| SENDER-1     ||  DATA BIT SEND -1
11/11/2021 11:29:19 ||| CHANNEL...   ||  [-1, 1]
11/11/2021 11:29:19 ||| CHANNEL...   ||  [-1, -1]
11/11/2021 11:29:19 ||| RECEIVER-1   ||  BIT RECEIVED : 0
11/11/2021 11:29:19 ||| RECEIVER-2   ||  BIT RECEIVED : 0
11/11/2021 11:29:20 ||| SENDER-2     ||  DATA BIT SEND 1
11/11/2021 11:29:20 ||| SENDER-1     ||  DATA BIT SEND 1
11/11/2021 11:29:20 ||| CHANNEL...   ||  [1, -1]
11/11/2021 11:29:20 ||| CHANNEL...   ||  [1, 1]
11/11/2021 11:29:20 ||| RECEIVER-1   ||  BIT RECEIVED : 1
11/11/2021 11:29:20 ||| RECEIVER-2   ||  BIT RECEIVED : 1
11/11/2021 11:29:20 ||| SENDER-2     ||  DATA BIT SEND -1
11/11/2021 11:29:20 ||| CHANNEL...   ||  [-1, 1]
11/11/2021 11:29:20 ||| SENDER-1     ||  DATA BIT SEND -1
11/11/2021 11:29:20 ||| CHANNEL...   ||  [-1, -1]
11/11/2021 11:29:20 ||| RECEIVER-2   ||  BIT RECEIVED : 0
11/11/2021 11:29:20 ||| RECEIVER-1   ||  BIT RECEIVED : 0
11/11/2021 11:29:21 ||| SENDER-2     ||  DATA BIT SEND -1
11/11/2021 11:29:21 ||| SENDER-1     ||  DATA BIT SEND -1
11/11/2021 11:29:21 ||| CHANNEL...   ||  [-1, 1]
11/11/2021 11:29:21 ||| CHANNEL...   ||  [-1, -1]
11/11/2021 11:29:21 ||| RECEIVER-1   ||  BIT RECEIVED : 0
11/11/2021 11:29:21 ||| RECEIVER-2   ||  BIT RECEIVED : 0
11/11/2021 11:29:21 ||| CHANNEL...   ||  [1, -1]
11/11/2021 11:29:21 ||| SENDER-2     ||  DATA BIT SEND 1
11/11/2021 11:29:21 ||| SENDER-1     ||  DATA BIT SEND 1
11/11/2021 11:29:21 ||| CHANNEL...   ||  [1, 1]
11/11/2021 11:29:21 ||| RECEIVER-2   ||  BIT RECEIVED : 1
11/11/2021 11:29:21 ||| RECEIVER-1   ||  BIT RECEIVED : 1
11/11/2021 11:29:22 ||| SENDER-2     ||  DATA BIT SEND -1
11/11/2021 11:29:22 ||| CHANNEL...   ||  [-1, 1]
11/11/2021 11:29:22 ||| SENDER-1     ||  DATA BIT SEND -1
11/11/2021 11:29:22 ||| CHANNEL...   ||  [-1, -1]
11/11/2021 11:29:22 ||| RECEIVER-2   ||  BIT RECEIVED : 0
11/11/2021 11:29:22 ||| RECEIVER-1   ||  BIT RECEIVED : 0
11/11/2021 11:29:22 ||| SENDER-2     ||  DATA BIT SEND 1
