
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : P PERSISTENT METHOD ########
-----------------------------------------------------------------------------

28/10/2021 11:46:32 SENDER-1 starts sending data to RECEIVER1

28/10/2021 11:46:32 CHANNEL has been initialised

28/10/2021 11:46:32 SENDER-2 starts sending data to RECEIVER2
28/10/2021 11:46:32 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:32 SENDER-2    ||  WAITING
28/10/2021 11:46:33 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:33 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:33 SENDER-2    ||  WAITING
28/10/2021 11:46:33 SENDER-1    ||  WAITING
28/10/2021 11:46:33 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:33 SENDER-1    ||  WAITING
28/10/2021 11:46:33 SENDER-2    ||  WAITING
28/10/2021 11:46:33 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:33 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:33 SENDER-1    ||  WAITING
28/10/2021 11:46:33 SENDER-2    ||  WAITING
28/10/2021 11:46:34 SENDER-1    ||  WAITING
28/10/2021 11:46:34 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:34 SENDER-2    ||  WAITING
28/10/2021 11:46:34 SENDER-1    ||  WAITING
28/10/2021 11:46:34 SENDER-2    ||  WAITING
28/10/2021 11:46:34 SENDER-1    ||  WAITING
28/10/2021 11:46:34 SENDER-2    ||  WAITING
28/10/2021 11:46:34 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:34 SENDER-1    ||  WAITING
28/10/2021 11:46:35 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:35 SENDER-2    ||  WAITING
28/10/2021 11:46:35 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:35 SENDER-1    ||  WAITING
28/10/2021 11:46:35 SENDER-2    ||  WAITING
28/10/2021 11:46:35 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:35 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:35 SENDER-1    ||  WAITING
28/10/2021 11:46:35 SENDER-2    ||  WAITING
28/10/2021 11:46:35 SENDER-1    ||  WAITING
28/10/2021 11:46:36 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:36 SENDER-2    ||  WAITING
28/10/2021 11:46:36 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:36 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:36 SENDER-2    ||  WAITING
28/10/2021 11:46:36 SENDER-1    ||  WAITING
28/10/2021 11:46:36 SENDER-2    ||  WAITING
28/10/2021 11:46:36 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:36 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:36 SENDER-2    ||  WAITING
28/10/2021 11:46:36 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:37 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:37 SENDER-1    ||  WAITING
28/10/2021 11:46:37 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:37 SENDER-2    ||  WAITING
28/10/2021 11:46:37 SENDER-1    ||  WAITING
28/10/2021 11:46:37 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:37 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:37 SENDER-1    ||  WAITING
28/10/2021 11:46:37 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:37 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:37 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:37 SENDER-2    ||  WAITING
28/10/2021 11:46:37 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:38 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:38 SENDER-2    ||  WAITING
28/10/2021 11:46:38 SENDER-1    ||  WAITING
28/10/2021 11:46:38 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:38 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:38 SENDER-2    ||  WAITING
28/10/2021 11:46:38 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:38 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:38 SENDER-1    ||  WAITING
28/10/2021 11:46:38 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:38 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:39 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:39 SENDER-1    ||  WAITING
28/10/2021 11:46:39 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:39 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:39 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:39 SENDER-2    ||  WAITING
28/10/2021 11:46:39 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:39 SENDER-1    ||  WAITING
28/10/2021 11:46:39 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:39 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:39 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:39 SENDER-2    ||  WAITING
28/10/2021 11:46:39 SENDER-1    ||  WAITING
28/10/2021 11:46:40 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:40 SENDER-1    ||  WAITING
28/10/2021 11:46:40 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:40 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:40 SENDER-1    ||  WAITING
28/10/2021 11:46:40 SENDER-2    ||  WAITING
28/10/2021 11:46:40 SENDER-1    ||  WAITING
28/10/2021 11:46:40 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:40 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:40 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:40 SENDER-1    ||  WAITING
28/10/2021 11:46:40 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:41 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:41 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:41 SENDER-2    ||  WAITING
28/10/2021 11:46:41 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:41 SENDER-1    ||  WAITING
28/10/2021 11:46:41 SENDER-2    ||  WAITING
28/10/2021 11:46:41 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:41 SENDER-2    ||  WAITING
28/10/2021 11:46:41 SENDER-1    ||  WAITING
28/10/2021 11:46:41 SENDER-2    ||  WAITING
28/10/2021 11:46:42 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:42 SENDER-1    ||  WAITING
28/10/2021 11:46:42 SENDER-2    ||  WAITING
28/10/2021 11:46:42 SENDER-1    ||  WAITING
28/10/2021 11:46:42 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:42 SENDER-2    ||  WAITING
